generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
1,1,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G1T1,False,False,False,13,0.0,3,107.0,55.002344,0.0
0,2,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G0T2,False,False,False,16,0.0,3,89.0,71.235171,0.0
2,1,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G2T1,False,False,False,2,0.0,3,141.0,40.00251,0.0
0,3,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G0T3,False,False,False,2,0.0,3,138.0,39.655207,0.0
0,4,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G0T4,False,False,False,2,0.0,3,135.0,38.692256,0.0
1,2,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G1T2,False,False,False,10,0.0,3,94.0,49.911116,0.0
1,4,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G1T4,False,False,False,2,0.0,3,141.0,37.735214,0.0
1,3,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G1T3,False,False,False,6,0.0,3,102.0,23.144338,0.0
0,1,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G0T1,False,False,False,2,0.0,2,113.0,22.1603,0.0
2,2,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G2T2,False,False,False,13,0.0,3,91.0,62.040675,0.0
2,4,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G2T4,False,False,False,15,0.0,3,84.0,68.178553,0.0
2,3,,bug3,evo_aptos,round_stress_fitness,round_stress_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/round_stress_fitness/G2T3,False,False,False,8,0.0,4,116.0,45.83509,0.0
1,1,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/time_fitness/G1T1,False,False,False,11,0.0,3,86.0,47.815418,0.0
0,2,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/time_fitness/G0T2,False,False,False,2,0.0,3,99.0,17.175233,0.0
2,1,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_07_14h16m_17s/bug3/evo_aptos/time_fitness/G2T1,False,False,False,10,0.0,3,97.0,51.966216,0.0
