generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,0,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_0,False,False,False,3,0,0,0,11.0,0,16.114774,7.059397333333333,10,3,1.3333333333333333,9,4,1,16.114774,3,4
,,1,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_1,False,False,False,3,0,0,0,11.0,0,18.111852,7.383171666666666,10,3,1.3333333333333333,9,3,1,18.111852,3,3
,,2,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_2,False,False,False,6,0,0,0,11.0,0,15.080532,6.4475679,11,4,1.6666666666666667,9,2,0,15.080532,4,2
,,3,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_3,False,False,False,6,0,0,0,12.0,0,15.139272,7.758173857142857,8,3,1.4285714285714286,7,4,4,15.139272,3,4
,,4,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_4,False,False,False,6,0,0,0,13.0,0,21.056547,5.45406675,13,5,2.375,8,3,0,21.056547,5,3
,,5,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_5,False,False,False,6,0,0,0,12.0,0,11.065651,6.2435068000000005,11,4,1.7777777777777777,9,2,1,11.065651,4,2
,,6,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_6,False,False,False,6,0,0,0,13.0,0,15.069446,6.138290909090909,12,3,1.5,10,3,1,15.069446,3,3
,,7,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_7,False,False,False,6,0,0,0,15.0,0,19.083453,5.8459986,11,5,1.875,8,4,4,19.083453,5,4
,,8,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_8,False,False,False,6,0,0,0,13.0,0,11.065607,6.131775545454545,12,3,1.5,10,2,1,11.065607,3,2
,,9,aptos-b2-c0d0,byzzfuzz,,,dstest,dstest/output/aptos-b2-c0d0/20260609_230342/aptos-b2-c0d0_byzzfuzz_9,False,False,False,6,0,0,0,14.0,0,16.103139,5.536705166666667,13,5,2.375,8,4,1,16.103139,5,4
