generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,block_height_skew_fitness,quorum_store_fitness,round_stress_fitness,round_timeout_count_fitness,time_fitness,vote_fragmentation_fitness
7,3,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G7T3,False,False,False,2,0.0,2,135.0,38.602741,0.0
11,4,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G11T4,False,False,False,2,0.0,2,133.0,19.212341,2.0
11,3,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G11T3,False,False,False,2,0.0,2,137.0,38.170432,1.0
7,4,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G7T4,False,False,False,2,0.0,5,145.0,25.143369,2.0
15,2,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G15T2,False,False,False,2,0.0,2,132.0,37.556187,0.0
3,2,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G3T2,False,False,False,2,0.0,2,134.0,37.458255,0.0
17,1,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G17T1,False,False,False,3,0.0,2,135.0,40.275731,0.0
9,2,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G9T2,False,False,False,1,0.0,2,147.0,21.39729,2.0
1,1,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G1T1,False,False,False,2,0.0,3,117.0,41.185253,1.0
13,1,,bug3,evo_aptos,time_fitness,time_fitness,evo,evo/logs/2026_08_11_16h36m_44s/bug3/evo_aptos/time_fitness/G13T1,False,False,False,1,0.0,2,136.0,17.772692,2.0
