generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,0,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_0,False,False,False,4,0,0,0,11.0,0,18.079594,9.268704333333334,10,3,1.3333333333333333,9,3,1,18.079594,3,3
,,1,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_1,False,False,False,4,0,0,0,10.0,65,20.41522,8.260779222222222,10,3,1.75,8,2,0,20.41522,3,2
,,2,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_2,False,False,False,4,0,0,0,11.0,0,18.074342,8.72956011111111,10,4,1.75,8,3,1,18.074342,4,3
,,3,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_3,False,False,False,4,0,0,0,10.0,7,18.35445,9.155982222222223,10,4,2.2857142857142856,7,2,0,18.35445,4,2
,,4,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_4,False,False,False,4,0,0,0,12.0,0,18.393216,13.123241,7,3,1.4285714285714286,7,5,5,18.393216,3,5
,,5,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_5,False,False,False,4,0,0,0,11.0,25,18.095436,8.395345444444445,10,4,2.0,8,3,1,18.095436,4,3
,,6,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_6,False,False,False,4,0,0,0,11.0,11,18.406054,7.1649518,11,3,1.875,8,2,0,18.406054,3,2
,,7,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_7,False,False,False,4,0,0,0,10.0,0,17.133259,9.727364222222223,10,3,1.875,8,2,0,17.133259,3,2
,,8,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_8,False,False,False,2,0,0,0,10.0,0,10.475939,4.575286888888889,10,3,1.5555555555555556,9,5,0,10.475939,3,5
,,9,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_9,False,False,False,4,0,0,0,11.0,0,16.858737,10.8547099,11,4,1.4,10,2,0,16.858737,4,2
,,10,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_10,False,False,False,4,0,0,0,11.0,18,18.079532,9.6452495,11,4,1.6666666666666667,9,2,0,18.079532,4,2
,,11,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_11,False,False,False,2,0,0,0,10.0,30,15.057606,9.507340222222222,10,4,1.5555555555555556,9,2,0,15.057606,4,2
,,12,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_12,False,False,False,4,0,0,0,10.0,14,16.901273,9.72577888888889,10,4,1.4444444444444444,9,2,0,16.901273,4,2
,,13,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_13,False,False,False,4,0,0,0,12.0,31,14.053552,11.203718625,9,2,1.1111111111111112,9,4,3,14.053552,2,4
,,14,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_14,False,False,False,2,0,0,0,10.0,7,16.245661,8.40415288888889,10,4,1.4444444444444444,9,2,0,16.245661,4,2
,,15,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_15,False,False,False,2,0,0,0,10.0,12,12.073484,9.275023666666666,10,4,1.4444444444444444,9,2,0,12.073484,4,2
,,16,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_16,False,False,False,4,0,0,0,11.0,21,17.070857,8.6409786,11,4,1.6666666666666667,9,2,0,17.070857,4,2
,,17,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_17,False,False,False,4,0,0,0,10.0,0,16.067558,10.173416375,9,3,1.375,8,2,1,16.067558,3,2
,,18,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_18,False,False,False,4,0,0,0,15.0,0,19.067606,13.184795375,9,3,1.3333333333333333,9,6,6,19.067606,3,6
,,19,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_19,False,False,False,4,0,0,0,10.0,27,14.06859,9.18312,10,3,1.4444444444444444,9,2,0,14.06859,3,2
,,20,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_20,False,False,False,4,0,0,0,10.0,0,16.858445,7.251916777777778,10,3,1.625,8,2,0,16.858445,3,2
,,21,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_21,False,False,False,4,0,0,0,10.0,22,16.051915,8.034490555555557,10,4,1.75,8,2,0,16.051915,4,2
,,22,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_22,False,False,False,4,0,0,0,11.0,26,14.075018,9.616875,10,3,1.3333333333333333,9,2,1,14.075018,3,2
,,23,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_23,False,False,False,4,0,0,0,11.0,32,20.1028,8.488300888888888,10,3,1.75,8,3,1,20.1028,3,3
,,24,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_24,False,False,False,4,0,0,0,10.0,6,14.048189,6.525182666666667,10,4,1.75,8,2,0,14.048189,4,2
,,25,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_25,False,False,False,2,0,0,0,9.0,17,13.070944,11.18420575,9,2,1.2222222222222223,9,1,0,13.070944,2,1
,,26,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_26,False,False,False,2,0,0,0,8.0,31,19.176279,11.92537857142857,8,3,1.375,8,2,0,19.176279,3,2
,,27,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_27,False,False,False,2,0,0,0,9.0,13,18.182047,10.860962625,9,3,1.625,8,2,0,18.182047,3,2
,,28,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_28,False,False,False,4,0,0,0,11.0,0,16.078002,8.0396459,11,3,1.5555555555555556,9,3,0,16.078002,3,3
,,29,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_29,False,False,False,4,0,0,0,12.0,17,18.114907,10.970202,10,3,1.4444444444444444,9,4,2,18.114907,3,4
,,30,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_30,False,False,False,4,0,0,0,10.0,5,18.085961,10.957459777777778,10,4,1.6666666666666667,9,2,0,18.085961,4,2
,,31,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_31,False,False,False,4,0,0,0,10.0,8,15.138448,9.075682777777779,10,4,1.4444444444444444,9,2,0,15.138448,4,2
,,32,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_32,False,False,False,2,0,0,0,10.0,32,16.09049,12.146241428571429,8,3,1.375,8,3,2,16.09049,3,3
,,33,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_33,False,False,False,2,0,0,0,10.0,0,17.095958,10.066177444444444,10,4,1.5555555555555556,9,2,0,17.095958,4,2
,,34,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_34,False,False,False,4,0,0,0,10.0,17,15.09159,10.515374444444443,10,4,1.4444444444444444,9,2,0,15.09159,4,2
,,35,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_35,False,False,False,2,0,0,0,10.0,0,17.089004,9.171355,10,4,1.5555555555555556,9,2,0,17.089004,4,2
,,36,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_36,False,False,False,2,0,0,0,10.0,9,14.143682,9.060186,10,4,1.5555555555555556,9,2,0,14.143682,4,2
,,37,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_37,False,False,False,4,0,0,0,11.0,7,18.107438,9.6725572,11,4,1.6666666666666667,9,2,0,18.107438,4,2
,,38,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_38,False,False,False,2,0,0,0,10.0,6,22.615551,9.616170444444444,10,4,1.875,8,2,0,22.615551,4,2
,,39,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_39,False,False,False,2,0,0,0,10.0,18,20.235485,10.083062333333334,10,3,1.5555555555555556,9,2,0,20.235485,3,2
,,40,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_40,False,False,False,4,0,0,0,10.0,39,14.080387,7.598909444444445,10,3,1.625,8,2,0,14.080387,3,2
,,41,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_41,False,False,False,2,0,0,0,11.0,11,25.235226,13.2785726,6,4,1.8,5,5,5,25.235226,4,5
,,42,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_42,False,False,False,2,0,0,0,10.0,0,14.122122,8.143857666666667,10,3,1.4444444444444444,9,2,0,14.122122,3,2
,,43,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_43,False,False,False,2,0,0,0,10.0,2,17.083049,6.698238222222222,10,4,2.0,8,4,0,17.083049,4,4
,,44,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_44,False,False,False,4,0,0,0,10.0,30,17.65724,9.046983333333335,10,4,1.875,8,2,0,17.65724,4,2
,,45,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_45,False,False,False,4,0,0,0,11.0,36,19.077812,9.744634000000001,11,4,1.6666666666666667,9,2,0,19.077812,4,2
,,46,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_46,False,False,False,4,0,0,0,10.0,0,14.059995,10.180969666666666,10,3,1.5555555555555556,9,2,0,14.059995,3,2
,,47,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_47,False,False,False,2,0,0,0,10.0,11,16.06795,8.821172666666666,10,3,1.5555555555555556,9,4,0,16.06795,3,4
,,48,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_48,False,False,False,4,0,0,0,13.0,24,41.668756,12.6771595,11,6,2.0,8,4,2,41.668756,6,4
,,49,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_49,False,False,False,2,0,0,0,12.0,0,28.501938,6.848289909090909,12,5,1.7777777777777777,9,5,0,28.501938,5,5
,,50,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_50,False,False,False,4,0,0,0,10.0,6,12.077311,5.361751222222222,10,3,1.625,8,2,0,12.077311,3,2
,,51,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_51,False,False,False,4,0,0,0,10.0,15,13.221559,9.048810222222222,10,4,1.5555555555555556,9,2,0,13.221559,4,2
,,52,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_52,False,False,False,2,0,0,0,11.0,17,24.269257,7.496072555555555,10,4,2.0,8,6,1,24.269257,4,6
,,53,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_53,False,False,False,2,0,0,0,10.0,16,14.048295,9.269803555555555,10,3,1.3333333333333333,9,2,0,14.048295,3,2
,,54,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_54,False,False,False,4,0,0,0,10.0,0,20.091586,8.820404333333334,10,4,1.875,8,2,0,20.091586,4,2
,,55,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_55,False,False,False,4,0,0,0,10.0,24,17.079544,9.490625555555555,10,3,1.3333333333333333,9,2,0,17.079544,3,2
,,56,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_56,False,False,False,4,0,0,0,11.0,0,16.051244,8.2365347,11,3,1.3,10,2,0,16.051244,3,2
,,57,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_57,False,False,False,4,0,0,0,11.0,7,14.121862,9.830471555555555,10,3,1.4444444444444444,9,2,1,14.121862,3,2
,,58,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260612_213054/aptos-localnet_byzzfuzz_58,False,False,False,4,0,0,0,12.0,9,14.076096,9.951416333333334,10,3,1.3333333333333333,9,3,2,14.076096,3,3
